objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
demo_011,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/sakay.jpg?raw=true,,,Sakay,Raymond Red,1993,"An acclaimed historical film depicting the life of Macario Sakay, a general who fought in the Philippine-American War.",Film,Philippines,12.8797,-121.774,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_012,,xx_gMne9bsU,,Matandang Dalaga,Olive La Torre,1954,"Carmen was about to get married and was on her way to church when Rosa Mia begged her not to go ahead with the wedding because Carmen was going to marry her husband, but the latter still insisted on his love for her fiancé until a letter was delivered saying that the wedding was no longer going ahead. Since then, Carmen has become so stubborn and distrustful of men that she even hinders the love between her sister Myrna Delgado and Ramon Revilla. Serialized in Bulaklak Magazine. ",Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_013,,j7ilmWDAIRE,,Balisong,Conrado Conde,1955,A deadly weapon in the hand of a fiery woman only one man could tame it’s fast-streaking fury.,Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_014,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/sugapa.jpg?raw=true,,,Sa Piling ng mga Sugapa,Gil Portes,1977-12-24,"A gritty social drama tackling contemporary domestic issues, directed by acclaimed filmmaker Gil Portes.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_015,,Rx_wKDkKwf0,,Hihintayin Kita,Artemio B. Tecson,1952-08-28,"A solider joins the guerilla and is tasked to woe the daughter of a man who has ties with Japanese forces and and gather intel but he falls in love with her. They both get married but the woman and her father gets into an accident, so the man leaves for Manila and falls in love with doctor. Fate lead the doctor and the woman to meet.",Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_016,,TKyEtugcfdM,,"Bata, Bata Pa'no Ka Ginawa?",Chito S. Roño,1998-09-09,"Based on the acclaimed novel of Lualhati Bautista, this film looks into the life of women's rights advocate Lea Bustamante (Vilma Santos), who has two children from different fathers. She finds herself at a crossroads when her children's fathers propose taking their kids with them. She then decides to let her children choose who they want to stay with. Released in 1998 and directed by Chito S. Roño.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_017,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/Hubad%20na%20Bayani-%2077-%20Robert%20Arevalo-sf.jpg?raw=true,,,Hubad na Bayani,Robert Arevalo,1977,"Hubad na Bayani explores the world of peasant revolts, cult organizations, talismans, and the fight for socio-economic reforms. The story revolves around Ruben a peasant who dreams of saving enough money to pay for the treatment of his sick mother, the education of his sister Pilar, as well as his own marriage to Luisa. His modest dreams are never realized as he and his family are exploited, harassed and victimized by the greedy landowners and loan sharks.",Film,Philippines,12.8797,-121.774,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_018,,FlYo4a5FcDY,,Prinsesa Gusgusin,Carlos Vander Tolosa,1957-10-21,It’s a fairy tale romance when a modern Cinderella meets her handsome lover prince.,Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_019,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/katy.jpg?raw=true,,,Katy The Musical,Nestor U. Torre,1988,"The work of a raft of top-flight talent, music by Ryan Cayabyab, libretto by Jose Javier Reyes, direction by Nestor Torre, and lead performances by Mitch Valdes, Celeste Legaspi, Marco Sison and Bernardo Bernardo Katy! celebrated the life and legacy of bodabil queen Katy de la Cruz. The show, hailed by then Inquirer columnist (later editor in chief) Letty Jimenez Magsanoc as having created the prototype for the Filipino musical, birthed the now-classic anthem Minsan ang Minahal ay Ako.",Theater,"Rizal Theater, Makati",14.5547,-121.0244,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_020,,DpCCHbWEDz4,,Maynila: Sa mga Kuko ng Liwanag,Lino Brocka,1975-07-16,"Julio Madiaga, a simple fisherman from the province, travels to Manila to find Ligaya, the woman he loves, after she went away with a mysterious woman promising a better future in the City. When he arrives, he becomes immersed in the city lifestyle and gets involved with its inhabitants experiencing extreme poverty, hard luck, and the overbearing need to grind for daily sustention. While Julio relentlessly searches for Ligaya, the city changes him little by little, becoming like an animal doomed to live only for survival in a wild jungle with no way out.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_021,,G0iamk1N6ic,,Tumbalik na Daigdig,Tony Arnaldo,1953-03-21,"A story about a young architect and his friend who goes to the province to build a church Upon their arrival they notice something peculiar, it seems that the place was primarily inhabited by women they soon learn that it was due to most men enlisted and perished in the war. Lacking the manpower to build the church he started to hire women as construction workers, he then meets this particular woman.",Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_022,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/kundiman%20ng%20puso.jpg?raw=true,,,Kundiman ng Puso,Tony Cayado,1958-01-04,"A musical-romance movie classic tracking dramatic domestic encounters, created under Sampaguita Pictures.",Musical Film,Philippines,12.8797,-121.774,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_023,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/colegiala.jpg?raw=true,,,Colegiala,Eduardo de Castro,1940-10-29,"A rare pre-war studio drama exploring the social pressures faced by a young woman from a traditional rural family who moves to Manila to attend an elite convent girls' college (colegiala). She finds herself caught between her family's strict provincial expectations and the fast-paced, modern lifestyles of her wealthy urban classmates. The central conflict arises when she falls in love with an artistic young man from a lower social standing, causing her family to threaten to pull her out of school. Through perseverance and the support of her progressive teachers, she bridges the cultural divide, proving that modern education can coexist with traditional values.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_024,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/paglipas%20ng%20dilim.jpg?raw=true,,,Paglipas ng Dilim,Rolando Tinio,1969,"A modern theater revival of the classic 1920 sarswela focusing on Ricardo, an idealistic young medical student who falls deeply in love with Estrella, a modest, pure-hearted seamstress. Their romance is threatened by Caridad, an aggressive, wealthy socialite who uses financial bribery and malicious lies to convince Ricardo's family that Estrella is unfaithful. Misunderstandings multiply during an elegant town fiesta, driving the young lovers apart. The truth is exposed during a climactic medical emergency where Estrella's selflessness saves a life, breaking through Caridad's deception and allowing Ricardo to publicly reunite with her as the metaphorical darkness over their lives finally passes.",Theater,Ateneo de Manila University,14.6395,-121.078,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_025,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/ang%20kiri.jpg?raw=true,,,Ang Kiri,Servando de los Angeles,1926,"A classic sarswela play following or focusing on any flirty, high-society woman named Kiri, who takes pleasure in playing with the hearts of wealthy suitors while evading any real marital commitment. Her care-free lifestyle catches up with her when she falls genuinely in love with an honorable man who rejects her advances, disgusted by her shallow lifestyle and manipulative reputation. This rejection sparks a profound emotional crisis, forcing Kiri to abandon her malicious games and undergo a quiet journey of self-reflection. She eventually wins his respect and love through genuine humility and acts of community service, transforming her public image. ",Theater,Philippines,12.8797,-121.774,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_026,,McT_ePmod4c,,Virginia,Nemesio E. Caravana,1949,"Virginia (1949) is a melodrama with predictable themes and stereotyped characters seen in most movies from the big studios that were now slowly becoming film factories. People from Manila are rich and haughty while the people from the province are poor, simple, but live dignified lives. The story is set during the latter part of the Pacific war, when the Americans began their offensive to take back the country from the Japanese. The rich family of Doña Tentay (Naty Bernardo) and her son Reynaldo (Armando Goyena), together with his cousin Mameng (Rosa Rosal) evacuate Manila and move to the province to escape the incessant bombing. There they encounter the pretty provincial lass, Virginia (Tessie Quintana), a corn vendor and Reynaldo and Virginia fall in love. Virginia and her father (Florentino Ballecer) are also secretly hiding an American officer from the Japanese, a Mr. Powell. Mameng is also in love with Reynaldo and tries her best to belittle and humiliate Virginia. At the war’s end, they return to Manila and Reynaldo is forced by an unexpected turn of events to marry Mameng. But Mameng is a spoiled society girl who not only dissipates Reynaldo’s fortune but is also unfaithful. Reynaldo loses his money and is forced to work as a taxi driver. One day he meets an accident and loses his sight. In the meantime, Mr. Powell, the American officer returns to the province and leaves all his property to Virginia. The roles are now reversed. Virginia is rich while Reynaldo and Mameng are dirt poor. Virginia learns about Reynaldo’s miserable situation and secretly has him cured. He regains his sight and confronts Mameng and her lover (Jaime Castelvi). A fight ensues and Mameng’s lover is accidentally killed. Reynaldo takes the blame but at the trial, a thoroughly repentant Mameng confesses to her role in this tragedy and takes poison. Reynaldo returns to the province and is reunited with Virginia.",Film,Philippines,12.8797,-121.774,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_027,,yoUZgyEimL8,,Sumpaan,Susana C. de Guzman,1948-05-24,"Three brothers make a vow on their father’s deathbed to be devoted to one another. As they each grow up in their own ways, they struggle to retain their bond as adults.",Film,"Cordillera Region, Philippines",17.025,-121.15,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_028,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/orasang%20ginto.jpg?raw=true,,,Orasang Gintong,Manuel Conde,1946-03-04,"Historically significant as the first feature film produced in the Philippines immediately following the destruction of World War II. The plot details the harrowing struggles of a war-weary soldier who returns to the ruined streets of Manila to search for his displaced family. His only keepsake is a gold watch (orasang ginto) given to him by a dying comrade on the battlefield. As he navigates the city's black markets and lawless post-war slums, the watch is stolen by a desperate gang of orphans. His quest to retrieve the watch leads him to the children's hiding place, where he unexpectedly discovers his own younger sister leading them, shifting his mission from individual survival to collective healing.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_029,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/La%20vida%20de%20jose%20rizal.jpg?raw=true,,,La Vida de Jose Rizal,Edward M. Gross,1912-08-23,"Based on Edward Gross’ 1905 stage play. It begins with a view of the Philippines prior to Rizal’s birth and traces his career in Europe, his exile in Dapitan, his imprisonment in Fort Santiago and his martyrdom at Bagumbayan.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_030,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/Fusilamiento_de_rizal.jpg?raw=true,,,El Fusilamiento de Jose Rizal,Albert Yearsley,1912-08-23,"A film depicting the shooting of Dr. Jose Rizal, consisting of a single scene worth 500 feet of film.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_031,,sO27KELMvjU,,Tunay na Ina,Octavio Silos,1939-06-10,"Magdalena (Rosario Moreno) becomes pregnant because she was raped by Antonio (Exequiel Segovia). Before his death, her father (Precioso Palma) gives up the baby for adoption, thinking that no man can ever understand her past. Magdalena is engaged to Roberto (Rudy Concepcion), a decent, well-off young man. Haunted by her conscience, Magdalena writes Roberto a letter, admitting her past. Her aunt, afraid that the wedding may be called off, intercepts the letter and hides it. Assuming that Roberto has accepted her in spite of her past, she marries him. Magdalena later becomes increasingly aware that Roberto does not know the truth about her. She tries to locate her lost child. Eventually, she sees a child that she thinks is her missing daughter. The child, Tita (Tita Duran), recognizes Aling Andang (Naty Bernardo) as her mother. The story of how Tita came to Andang matches the story of how Magdalena's baby was given away. Magdalena is now sure that Tita is her child. Meanwhile, Antonio comes back and blackmails Magdalena. When Magdalena later refuses to give him more money, Antonio tells Roberto the truth. Roberto throws Magdalena out of the house. She goes to Andang and Tita to spend time with her daughter, not knowing that Junior, her son by Roberto is gravely ill. Junior dies. Magdalena is only redeemed in Roberto's eyes when the aunt produces Magdalena's letter. After Andang almost comes to death on Christmas Eve, Magdalena and Roberto decide to adopt both Tita and Aling Andang into their home.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_032,,MFe2hiiIqk,,Tulisan,Jose De Villa,1962,"This film is about the warring women bandits. Roberta leads a group that will rescue her kidnapped twin-sister, Senyang, from Fernanda’s group.",Film,Philippines,12.8797,-121.774,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_033,,ezgvxSWdKwg,,Kerubin,Octavio Silos,1952-04-30,"St. Peter is exasperated with the antics of Kerubin, a mischievous little angel. So he sends Kerubin to Earth with the proviso that she cannot return to heaven until she makes one sad soul happy. Kerubin settles on Anastacis, a young housewife who wants to have a child but cannot and whose husband is beginning to have a wandering eye.",Film,"Manila, Philippines",14.5995,-120.9842,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_034,,cQkUWJF9vWw,,Anak ng Espada,Tony Cayado,1954-06-09,"A 1954 Philippine action-fantasy film. Directed by Tony Cayado and written by Fernando B. Monleon, this swashbuckling epic features a young cast of notable stars, including Tessie Agana, Norma Vales, and Rita Gomez. Amidst mystical swordplay and classic Filipino folklore.",Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_035,,IdFTp2zay2w,,Octavia ,Rose Mia,1961,A generation feud between three stars.,Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_036,,Yzlx9S1uG7Q,,Anino ni Bathala,Conrado Conde,1958-04-19,Earthly love or the love of god? which must one choose in order to live in his shadow?,Film,"Quezon City, Philippines",14.676,-121.0437,,,Image;MovingImage,video/mp4,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_037,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/La%20india.jpg?raw=true,,,La India Elegante y El Negrito Amante,Francisco Balagtas,1860,"A popular 19th-century musical farce (saynete) that serves as a satirical commentary on racial, cultural, and social status. The story revolves around Kapitan Toming, a short, dark Aeta chieftain (""el negrito amante"") who falls deeply in love with A popular 19th-century musical farce (saynete) that serves as a satirical commentary on racial, cultural, and social status. The story revolves around Kapitan Toming, a short, dark Aeta chieftain (""el negrito amante"") who falls deeply in love with Menangge, a disdainful, sophisticated Tagalog woman (""la india elegante""). Desperate to win her affections, Toming continuously attempts to mask his indigenous identity by dressing in various elaborate European outfits, including an American frak and formal coat (lebita), under the mistaken belief that high-status foreign clothes will change his social standing. Menangge repeatedly rejects his advances based on his race. The comedic friction develops through Toming's dialogues with his companion Uban, eventually leading to a dramatic realization of self-worth and a profound message regarding local identity, discrimination, and the vanity of colonial assimilation.",Theater,"Teatro de Tondo in the district of Tondo, Manila",14.617,-120.967,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
demo_038,https://github.com/AnjieAmongo/Personal-Archive/blob/main/objects/minda%20mora.jpg?raw=true,,,Minda Mora,Severino Reyes,1908,"A monumental three-act Tagalog sarswela that explores the intersection of romance, religious identity, and social duty. The story focuses on the star-crossed relationship between Felix, a Christian man, and Minda, a Muslim Moro woman from Mindanao. After a deep romance develops between them, Minda becomes pregnant. Felix faces immense domestic and societal pressure due to the deep-seated cultural divides between Christian and Muslim communities at the turn of the century. The drama peaks as Felix faces a severe moral crossroad over his path in life. The storyline resolves through a powerful social message reflecting Filipino values, emphasizing a man's moral responsibility to honor and marry the woman he impregnated regardless of cultural biases, ending with a plea for domestic fidelity, integrity, and honor. ",Theater,"Teatro Zorrilla, Manila, Philippines",14.6033,-120.9839,,,Image;StillImage,image/jpeg,fil,In Copyright / Educational Use,"Materials are preserved for educational, research, historical, and archival purposes only. Copyright remains with the original creators, production companies, studios, photographers, or rights holders. This archive does not claim ownership over reproduced media unless otherwise stated."
